nome;type;mean;standard deviation;meadian;percentile 25;percentile 75
ID1_F;ECG;-0.009019463294671308;0.36302867688665946;-0.05243050141358612;-0.10722310834264955;-0.003199421296692412
 ;EMGZ;-9.891473414356611e-08;0.04326232303001275;-9.806253002034933e-05;-0.010016267015775964;0.009707770837982303
 ;EMGMF;-1.5895366851278458e-07;0.018619851287278704;0.0005396425895609024;-0.010116147444746145;0.010694984075588946
 ;EDA;1.837710104751521;0.23675391790546246;1.7844708700638612;1.6207862412555416;2.0097460468169777
ID1_N;ECG;-0.011427514406028641;0.42535199229053977;-0.05942339862945217;-0.12507623154731343;-0.004252897038394078
 ;EMGZ;-2.6512230791758427e-07;0.032763296672527614;0.00016722597727366261;-0.02771139334504621;0.027741289375737676
 ;EMGMF;1.4348471401315435e-07;0.03523072676642636;4.339222312515958e-05;-0.030112874360174055;0.030163621073171398
 ;EDA;1.6757900974349547;0.07726367468262123;1.6803393091523267;1.6063356962436601;1.736552149064932
ID1_H;ECG;-0.0006302959227185438;0.3235883237602372;-0.044752258992280025;-0.10016963762072637;0.006598122138663831
 ;EMGZ;-6.544767157045455e-07;0.058274341659669576;2.1611306470523594e-05;-0.014681452695547713;0.014584597959197674
 ;EMGMF;9.068609287211075e-07;0.013661038045739305;-0.00028719438432694934;-0.006493715074316796;0.0062433280097044545
 ;EDA;1.434529647593713;0.0638017941946376;1.446600246452372;1.388834950160845;1.4673125952216788
ID2_H;ECG;-0.009218209758937756;0.3462828133657035;-0.10161796652085206;-0.16846739173319697;0.07667175920178197
 ;EMGZ;6.026819832320938e-07;0.050410684638828744;4.833208534465658e-05;-0.02819403113155674;0.02810608215661747
 ;EMGMF;-8.74330387116368e-10;0.002365828619017946;-3.0505215969426052e-05;-0.0013106092383076379;0.0012341896383600342
 ;EDA;0.8038370489403297;0.0781426934396776;0.7746903783542138;0.7368763271950733;0.8618583964068642
ID2_N;ECG;-0.011665344247244422;0.39206678100700565;-0.08271788820124004;-0.17378886085672154;0.09979308990146957
 ;EMGZ;-4.487965615126127e-08;0.0346588542509867;0.00017491215012595002;-0.009462544304675361;0.009629344332774237
 ;EMGMF;2.768433435903924e-07;0.012989057285265391;-0.000532136803062901;-0.006065237892610638;0.0052528963208887565
 ;EDA;0.8875577707597706;0.08530569269585528;0.9067556273078964;0.7916245225689734;0.946411522863571
ID2_F;ECG;-0.013495366086390737;0.3998672060951732;-0.08335768449957122;-0.1809387672777577;0.10979837559886509
 ;EMGZ;2.145724333782802e-07;0.047406444066637674;0.00045314164041984867;-0.00886547417453731;0.00928431008711303
 ;EMGMF;1.1673144293448632e-07;0.0422395855497385;0.000305244770346698;-0.02826351236424331;0.02760180803274062
 ;EDA;0.5366135071740021;0.1167156608868819;0.4654630767774638;0.4236912100109312;0.6397838961507221
ID4_F;ECG;-0.009492329463184906;0.3512196759389692;-0.05056449737557643;-0.1314310969917022;0.020876486680813995
 ;EMGZ;-2.534077108867318e-06;0.0649117604916397;0.000337367503846657;-0.03841575565603135;0.03850004361118896
 ;EMGMF;-6.069221420425269e-07;0.033976547987780915;-4.717346310241825e-06;-0.02104051017634295;0.020685468034723598
 ;EDA;0.5958488847835276;0.13065676175001356;0.6492443687959886;0.4658234650974363;0.6849238357569152
ID4_H;ECG;-0.0065107126504925904;0.8166535454173655;-0.05951601945888166;-0.12149243709069205;0.03533444899363264
 ;EMGZ;1.137582409066428e-06;0.09850442186586103;0.00025413921301326026;-0.07465300532413438;0.07488798212992712
 ;EMGMF;-7.69644243292165e-08;0.06402029030451785;-6.387150703416992e-05;-0.039341572506524536;0.03907741394273337
 ;EDA;0.46201529406316355;0.21171363205422863;0.6201420108221458;0.25032196845926874;0.6798315105366775
ID4_N;ECG;-0.008320730341518019;0.5569630713492841;-0.05950699273435643;-0.12206690393855552;0.02595623861982986
 ;EMGZ;2.4067202684428855e-07;0.05214919876857756;0.0001031131027748218;-0.04147987837052877;0.04151131879329568
 ;EMGMF;1.046536348562497e-06;0.018063704873787;-0.0001564458458420788;-0.0066950285367946795;0.005970504429602254
 ;EDA;0.3810952974935029;0.1496742023424702;0.5171110519185855;0.23173680771025212;0.5278741080668411
ID7_N;ECG;-0.010670473890192166;0.2443735129742063;-0.07196850316929612;-0.13229757290808072;0.054787956657572134
 ;EMGZ;3.714263542218547e-07;0.01649471542213634;8.754000925721966e-05;-0.015336561361561949;0.015294738684167433
 ;EMGMF;-1.923543884526151e-08;0.009763303476466175;8.455794087490541e-05;-0.005557165534704954;0.0055266885232402455
 ;EDA;0.7488976929587788;0.12036439295047095;0.7466571299856106;0.6494857157994819;0.8244073293828303
ID7_F;ECG;-0.006077234608994732;0.24371201701237843;-0.05344204305086258;-0.11337974862680719;0.053399309286826596
 ;EMGZ;-2.8262525489382666e-08;0.03864644278866217;-0.00024084565774556022;-0.021244528969786864;0.020750798447050297
 ;EMGMF;4.3934536541730036e-07;0.052219897669729495;8.244211244956036e-05;-0.03641069379730927;0.03649219420021494
 ;EDA;0.3652979722290483;0.04453146168936525;0.36701206901736594;0.33025246053637414;0.3892346355743163
ID7_H;ECG;-0.010993847095953259;0.20356518740162036;-0.04921893461795423;-0.09408625825463843;0.024095167531668432
 ;EMGZ;2.128807975104167e-07;0.03869836692826042;-4.6610872760751245e-05;-0.006097819870164906;0.005605033761165093
 ;EMGMF;7.722231982513738e-07;0.03213667699403884;0.00012442083965834446;-0.009065300218158727;0.009008978924640497
 ;EDA;0.4875861562905879;0.14343019595065545;0.43457274169803206;0.3919872930760838;0.612864543703558
ID8_H;ECG;-0.010270473001895814;0.24665204143791714;-0.05394448166138363;-0.10125605999360458;0.024375423042305458
 ;EMGZ;4.778369723666675e-07;0.026437890761808157;0.000109777894971878;-0.019059943381232052;0.01915831467172968
 ;EMGMF;-5.904255318072487e-08;0.011487938031041527;0.00030779925210582904;-0.006744080949095685;0.007031572033495664
 ;EDA;0.9288596331105274;0.26068148697852583;0.7599599335921419;0.6642035825655008;1.1558197088794484
ID8_N;ECG;-0.009114886204785606;0.1836286374068171;-0.045181082686994514;-0.07965033532252712;0.027421607284038182
 ;EMGZ;1.220218837876406e-07;0.030565329640068074;0.0001590774836846584;-0.01487474795874194;0.014835717987487765
 ;EMGMF;8.42370972213498e-07;0.009539078082106836;2.4030516720805004e-05;-0.005886266998371273;0.005856783148878027
 ;EDA;0.17051631924833185;0.041833428598429485;0.19166565585209544;0.1289145715847625;0.21094048817437355
ID8_F;ECG;-0.008326231242486748;0.16883468805054894;-0.0399855355736112;-0.07939786001095128;0.04025554985315162
 ;EMGZ;1.2365821850455928e-06;0.01947324163496288;0.00014453810671669239;-0.012748595256490147;0.01269281529836894
 ;EMGMF;-2.8349874718843205e-08;0.008843058834661962;0.00013237604950912577;-0.005747189403476056;0.005775216257164505
 ;EDA;0.5060173154549635;0.37357912088562306;0.15827987329155824;0.14026328998723012;0.8589404518065231
ID10_N;ECG;-0.0073166064622677395;0.4163360331406578;-0.04446872973276751;-0.10266045177927496;0.035557533807237834
 ;EMGZ;-3.5465023960351265e-07;0.08006775638720763;-6.300003324472719e-05;-0.011010593490233126;0.010670938739076142
